contract_id,start_date_key,planned_end_key,end_date_key,region_id,contractor_id,status_id,contract_value,pct_complete,is_on_time
C0137,2024-07-24,2024-10-14,2024-10-14,R04,K03,2,298350.38,1.0,1
C0138,2024-11-02,2025-01-09,2025-01-09,R08,K01,2,466521.35,1.0,1
C0139,2024-11-05,2025-05-05,2025-05-05,R05,K01,2,679773.51,1.0,1
C0140,2024-11-13,2025-07-18,2025-07-18,R03,K03,2,202230.18,1.0,1
C0141,2024-09-25,2025-07-03,2025-07-03,R04,K11,2,568044.49,1.0,1
C0142,2024-10-13,2025-01-17,2025-01-17,R02,K08,2,128126.33,1.0,1
C0143,2024-09-13,2025-07-03,2025-07-03,R02,K03,2,462670.37,1.0,1
C0144,2024-11-24,2025-07-06,2025-07-06,R08,K06,2,854759.14,1.0,1
C0145,2024-11-11,2025-09-03,2025-10-29,R08,K01,2,343809.17,1.0,0
C0146,2024-10-22,2025-06-25,2025-06-25,R03,K05,2,573251.03,1.0,1
C0147,2024-10-26,2025-07-15,2025-09-08,R04,K06,2,205478.99,1.0,0
C0148,2024-11-03,2025-06-20,2025-06-20,R03,K08,2,454118.19,1.0,1
C0149,2024-10-31,2025-04-27,2025-04-27,R06,K02,2,521003.69,1.0,1
C0150,2024-09-29,2025-09-19,2025-09-19,R06,K04,2,1254361.66,1.0,1
C0151,2024-12-08,2025-08-18,2025-08-18,R01,K01,2,451561.48,1.0,1
C0152,2024-11-04,2025-06-12,2025-06-12,R07,K11,2,1190227.27,1.0,1
C0153,2024-11-28,2025-05-13,2025-05-13,R01,K01,2,414144.24,1.0,1
C0154,2024-11-07,2025-06-03,2025-06-03,R01,K05,2,352107.65,1.0,1
C0155,2024-10-25,2025-09-25,2025-09-25,R07,K08,2,742907.52,1.0,1
C0156,2024-11-21,2025-06-19,2025-06-19,R06,K12,2,722781.85,1.0,1
C0157,2024-12-13,2025-07-14,2025-07-14,R01,K02,2,423598.89,1.0,1
C0158,2024-11-21,2025-09-05,2025-09-05,R05,K07,2,365526.52,1.0,1
C0159,2024-12-12,2025-07-19,2025-07-19,R03,K07,2,659742.79,1.0,1
C0160,2024-12-05,2025-10-29,2025-10-29,R04,K01,2,60000.0,1.0,1
C0161,2024-11-15,2025-05-25,2025-05-25,R05,K02,2,373435.95,1.0,1
C0162,2025-01-12,2025-09-20,2025-09-20,R04,K01,2,144891.19,1.0,1
C0163,2025-01-24,2025-06-02,2025-06-02,R05,K04,2,561271.92,1.0,1
C0164,2024-12-06,2025-04-08,2025-04-08,R01,K03,2,195647.61,1.0,1
C0165,2025-01-31,2025-12-07,2025-12-07,R07,K01,2,1322450.66,1.0,1
C0166,2025-01-21,2025-06-03,2025-06-03,R08,K02,2,504140.84,1.0,1
C0167,2025-01-28,2025-12-28,2025-12-28,R06,K12,2,2167786.83,1.0,1
C0168,2024-11-25,2025-04-06,2025-04-06,R05,K07,2,277281.27,1.0,1
C0169,2024-12-18,2025-07-06,2025-07-06,R03,K02,2,344586.23,1.0,1
C0170,2025-01-18,2025-06-08,2025-07-03,R01,K12,2,265709.14,1.0,0
C0171,2025-02-16,2025-08-15,2025-08-15,R01,K03,2,584919.1,1.0,1
C0172,2025-01-31,2025-05-14,2025-05-14,R03,K06,2,392928.15,1.0,1
C0173,2025-01-01,2025-08-18,2025-08-18,R01,K04,2,783003.06,1.0,1
C0174,2025-01-30,2025-10-10,2025-10-10,R01,K01,2,613743.49,1.0,1
C0175,2025-02-28,2025-12-15,2025-12-15,R03,K06,2,553708.83,1.0,1
C0176,2025-02-21,2025-12-16,2025-12-16,R02,K11,2,365944.42,1.0,1
C0177,2025-02-16,2025-12-29,2025-12-29,R04,K08,2,425569.33,1.0,1
C0178,2025-01-20,2025-11-03,2025-11-03,R01,K01,2,791772.99,1.0,1
C0179,2025-01-28,2025-09-07,2025-09-07,R08,K02,2,622931.44,1.0,1
C0180,2025-01-23,2025-06-01,2025-06-01,R01,K12,2,486360.82,1.0,1
C0181,2025-03-15,2025-12-31,2025-12-31,R05,K05,2,636021.78,1.0,1
C0182,2025-02-03,2025-12-31,2025-12-31,R08,K03,2,515665.15,1.0,1
C0183,2025-01-10,2025-08-17,2025-08-17,R05,K06,2,729083.82,1.0,1
C0184,2025-02-14,2025-07-07,2025-07-07,R04,K05,2,192755.84,1.0,1
C0185,2025-03-16,2025-07-13,2025-07-13,R04,K01,2,414889.82,1.0,1
C0186,2025-02-21,2025-12-31,2025-12-31,R03,K10,2,501364.9,1.0,0
C0187,2025-03-11,2025-10-04,2025-10-04,R08,K05,2,1362889.81,1.0,1
C0188,2025-04-04,2025-08-17,2025-08-17,R01,K01,2,990323.73,1.0,1
C0189,2025-03-03,2025-12-16,2025-12-16,R06,K01,2,642894.73,1.0,1
C0190,2025-01-15,2025-07-13,2025-07-13,R01,K06,2,256837.35,1.0,1
C0191,2025-04-09,2025-09-02,2025-09-02,R04,K09,2,416497.8,1.0,1
C0192,2025-01-26,2025-09-07,2025-09-07,R05,K02,2,1188190.72,1.0,1
C0193,2025-04-03,2025-10-14,2025-10-14,R01,K01,2,183817.0,1.0,1
C0194,2025-04-09,2025-06-14,2025-08-11,R04,K09,2,551035.61,1.0,0
C0195,2025-05-05,2025-10-17,2025-10-17,R08,K03,2,468314.39,1.0,1
C0196,2025-03-16,2025-12-31,2025-12-31,R08,K03,2,779692.55,1.0,1
C0197,2025-02-12,2025-12-31,2025-12-31,R02,K04,2,157849.63,1.0,1
C0198,2025-03-17,2025-06-01,2025-06-01,R02,K08,2,282401.62,1.0,1
C0199,2025-03-07,2025-12-31,2025-12-31,R08,K10,2,209562.17,1.0,0
C0200,2025-05-17,2025-12-31,2025-12-31,R08,K03,2,615170.08,1.0,1
C0201,2025-03-01,2025-06-20,2025-06-20,R01,K03,2,1196316.0,1.0,1
C0202,2025-02-26,2025-12-31,2025-12-31,R03,K02,2,674285.36,1.0,1
C0203,2025-03-14,2025-05-17,2025-05-17,R07,K11,2,1119867.2,1.0,1
C0204,2025-03-16,2025-11-14,2025-12-27,R02,K06,2,244870.33,1.0,0
C0205,2025-03-09,2025-07-17,2025-08-09,R03,K06,2,359318.39,1.0,0
C0206,2025-02-10,2025-12-31,2025-12-31,R08,K05,2,751227.65,1.0,0
C0207,2025-04-30,2025-12-31,2025-12-31,R01,K07,2,234552.69,1.0,1
C0208,2025-03-21,2025-12-31,2025-12-31,R05,K07,2,247147.33,1.0,1
C0209,2025-03-26,2025-07-18,2025-08-07,R04,K08,2,389512.98,1.0,0
C0210,2025-04-24,2025-11-18,2025-11-18,R05,K06,2,310198.17,1.0,1
C0211,2025-04-01,2025-12-31,2025-12-31,R02,K05,2,176868.2,1.0,0
C0212,2025-03-24,2025-11-26,2025-12-31,R02,K09,2,198598.97,1.0,0
C0213,2025-04-23,2025-10-07,2025-10-07,R01,K04,2,140330.68,1.0,1
C0214,2025-03-26,2025-07-27,2025-08-17,R04,K02,2,324135.72,1.0,0
C0215,2025-04-14,2025-12-31,2025-12-31,R08,K03,2,311813.35,1.0,1
C0216,2025-05-24,2025-12-31,2025-12-31,R03,K04,2,330671.43,1.0,1
C0217,2025-04-29,2025-12-31,2025-12-31,R01,K02,2,200699.35,1.0,1
C0218,2025-05-11,2025-12-31,2025-12-31,R04,K08,2,216887.74,1.0,1
C0219,2025-03-05,2025-12-31,2025-12-31,R06,K10,2,1887973.54,1.0,1
C0220,2025-04-26,2025-11-15,2025-11-15,R08,K06,2,364238.72,1.0,1
C0221,2025-06-17,2025-12-31,2025-12-31,R07,K02,2,1047634.35,1.0,1
C0222,2025-04-14,2025-12-31,2025-12-31,R07,K06,2,1185646.18,1.0,0
C0223,2025-04-09,2025-12-31,2025-12-31,R06,K02,2,1039918.63,1.0,1
C0224,2025-05-06,2025-10-08,2025-10-08,R03,K10,2,172823.97,1.0,1
C0225,2025-06-14,2025-12-13,2025-12-13,R04,K01,2,132974.96,1.0,1
C0226,2025-04-15,2025-08-27,2025-08-27,R05,K03,2,815414.49,1.0,1
C0227,2025-03-29,2025-12-31,2025-12-31,R03,K01,2,499357.37,1.0,1
C0228,2025-04-06,2025-08-08,2025-10-10,R02,K04,2,336461.23,1.0,0
C0229,2025-04-05,2025-06-15,2025-06-15,R04,K05,2,401773.19,1.0,1
C0230,2025-05-19,2025-12-31,2025-12-31,R04,K01,2,499136.84,1.0,1
C0231,2025-04-13,2025-07-30,2025-07-30,R08,K10,2,907952.68,1.0,1
C0232,2025-04-13,2025-06-20,2025-08-19,R02,K10,2,307539.46,1.0,0
C0233,2025-05-28,2025-08-15,2025-08-15,R08,K01,2,194461.83,1.0,1
C0234,2025-05-10,2025-12-31,2025-12-31,R07,K11,2,782164.96,1.0,0
C0235,2025-05-23,2025-12-31,2025-12-31,R01,K06,2,357122.86,1.0,1
C0236,2025-05-14,2025-09-04,2025-09-04,R04,K02,2,785831.42,1.0,1
C0237,2025-04-25,2025-12-31,2025-12-31,R03,K10,2,342323.27,1.0,1
C0238,2025-04-09,2025-12-31,2025-12-31,R05,K02,2,352327.19,1.0,1
C0239,2025-04-26,2025-09-21,2025-09-21,R07,K07,2,993501.79,1.0,1
C0240,2025-03-25,2025-12-31,2025-12-31,R03,K06,2,334568.69,1.0,0
C0241,2025-04-05,2025-10-18,2025-10-18,R08,K02,2,764879.48,1.0,1
C0242,2025-05-29,2025-12-31,2025-12-31,R03,K06,2,303508.29,1.0,1
C0243,2025-04-10,2025-09-27,2025-09-27,R06,K02,2,494647.84,1.0,1
C0244,2025-07-05,2025-09-03,2025-09-03,R01,K11,2,748224.67,1.0,1
C0245,2025-05-17,2025-12-31,2025-12-31,R05,K07,2,396345.12,1.0,1
C0246,2025-05-16,2025-12-31,2025-12-31,R01,K05,2,707606.83,1.0,0
C0247,2025-05-31,2025-12-31,2025-12-31,R05,K03,2,816581.77,1.0,1
C0248,2025-04-08,2025-09-05,2025-10-31,R05,K04,2,313282.18,1.0,0
C0249,2025-06-09,2025-12-31,2025-12-31,R04,K01,2,241463.76,1.0,1
C0250,2025-04-29,2025-12-19,2025-12-19,R01,K09,2,802925.01,1.0,1
C0251,2025-05-19,2025-08-13,2025-08-13,R07,K02,2,783800.79,1.0,1
C0252,2025-06-19,2025-10-03,2025-10-03,R07,K03,2,1559585.43,1.0,1
C0253,2025-05-13,2025-12-31,2025-12-31,R03,K02,2,615228.74,1.0,1
C0254,2025-07-12,2025-09-28,2025-09-28,R02,K01,2,320587.83,1.0,1
C0255,2025-06-15,2025-12-31,2025-12-31,R03,K09,2,906281.36,1.0,0
C0256,2025-06-03,2025-12-31,2025-12-31,R02,K01,2,492470.82,1.0,1
C0257,2025-05-29,2025-10-13,2025-10-13,R05,K04,2,286552.9,1.0,1
C0258,2025-05-04,2025-12-31,2025-12-31,R01,K03,2,343421.15,1.0,1
C0259,2025-06-03,2025-12-31,2025-12-31,R04,K02,2,305303.49,1.0,1
C0260,2025-06-03,2025-11-18,2025-11-18,R08,K03,2,580018.8,1.0,1
C0261,2025-04-28,2025-09-10,2025-09-10,R05,K12,2,1524335.87,1.0,1
C0262,2025-06-13,2025-12-31,2025-12-31,R01,K05,2,473831.74,1.0,0
C0263,2025-05-21,2025-12-31,2025-12-31,R06,K02,2,535141.6,1.0,1
C0264,2025-07-15,2025-12-31,2025-12-31,R07,K02,2,1402794.52,1.0,0
C0265,2025-07-04,2025-12-19,2025-12-19,R03,K11,2,211424.3,1.0,1
C0266,2025-06-03,2025-12-31,2025-12-31,R07,K03,2,1395794.06,1.0,1
C0267,2025-07-03,2025-10-17,2025-10-17,R02,K06,2,378260.86,1.0,1
C0268,2025-06-15,2025-10-13,2025-11-14,R07,K10,2,462643.95,1.0,0
C0269,2025-06-30,2025-12-31,2025-12-31,R03,K10,2,172933.53,1.0,1
C0270,2025-07-03,2025-12-01,2025-12-01,R03,K10,2,179879.62,1.0,1
C0271,2025-06-29,2025-12-31,2025-12-31,R08,K09,2,238031.48,1.0,1
C0272,2025-07-06,2025-12-31,2025-12-31,R01,K01,2,217333.1,1.0,1
C0273,2025-07-26,2025-12-31,2025-12-31,R01,K01,2,682916.12,1.0,1
C0274,2025-06-29,2025-12-31,2025-12-31,R01,K07,2,623071.72,1.0,0
C0275,2025-06-04,2025-08-20,2025-08-20,R07,K04,2,365476.64,1.0,1
C0276,2025-07-13,2025-12-31,2025-12-31,R04,K05,2,358025.1,1.0,0
C0277,2025-05-29,2025-08-31,2025-08-31,R01,K04,2,603895.08,1.0,1
C0278,2025-06-10,2025-08-20,2025-08-20,R02,K12,2,195743.28,1.0,1
C0279,2025-08-03,2025-12-31,2025-12-31,R02,K02,2,987291.5,1.0,1
C0280,2025-06-03,2025-12-31,2025-12-31,R04,K09,2,290589.33,1.0,1
C0281,2025-05-28,2025-12-11,2025-12-31,R01,K07,2,294725.81,1.0,0
C0282,2025-05-16,2025-10-10,2025-10-10,R01,K11,2,694589.07,1.0,1
C0283,2025-06-09,2025-08-29,2025-08-29,R08,K01,2,1568126.35,1.0,1
C0284,2025-06-28,2025-12-31,2025-12-31,R02,K07,2,323727.43,1.0,1
C0285,2025-06-01,2025-12-31,2025-12-31,R01,K07,2,273690.47,1.0,1
C0286,2025-08-05,2025-12-31,2025-12-31,R03,K03,2,564063.22,1.0,1
C0287,2025-05-24,2025-12-31,2025-12-31,R06,K08,2,349907.42,1.0,1
C0288,2025-05-31,2025-12-31,2025-12-31,R02,K03,2,431229.78,1.0,1
C0289,2025-06-16,2025-12-31,2025-12-31,R02,K06,2,259067.24,1.0,0
C0290,2025-06-16,2025-08-29,2025-08-29,R04,K05,2,356694.44,1.0,1
C0291,2025-06-28,2025-10-03,2025-10-03,R02,K03,2,332484.89,1.0,1
C0292,2025-08-07,2025-12-31,2025-12-31,R06,K12,2,494465.15,1.0,1
C0293,2025-06-15,2025-08-28,2025-08-28,R07,K11,2,1069795.47,1.0,1
C0294,2025-07-20,2025-12-31,2025-12-31,R03,K01,2,703267.47,1.0,1
C0295,2025-08-03,2025-12-31,2025-12-31,R08,K11,2,385635.63,1.0,1
C0296,2025-08-03,2025-12-31,2025-12-31,R06,K02,2,837708.75,1.0,1
C0297,2025-07-23,2025-12-31,2025-12-31,R08,K03,2,484098.69,1.0,1
C0298,2025-06-20,2025-12-31,2025-12-31,R02,K04,2,205220.12,1.0,1
C0299,2025-08-26,2025-12-31,2025-12-31,R04,K02,2,472722.54,1.0,1
C0300,2025-07-11,2025-11-27,2025-11-27,R04,K03,2,244435.07,1.0,1
C0301,2025-07-08,2025-12-31,2025-12-31,R08,K10,2,446283.06,1.0,0
C0302,2025-09-01,2025-12-29,2025-12-29,R05,K05,2,410035.92,1.0,1
C0303,2025-09-14,2025-12-31,2025-12-31,R08,K07,2,346977.62,1.0,1
C0304,2025-08-18,2025-12-31,2025-12-31,R04,K04,2,395914.03,1.0,1
C0305,2025-08-25,2025-10-29,2025-10-29,R08,K02,2,631370.46,1.0,1
C0306,2025-07-27,2025-12-31,2025-12-31,R01,K03,2,937269.74,1.0,1
C0307,2025-09-03,2025-12-31,2025-12-31,R01,K01,2,369789.92,1.0,1
C0308,2025-07-24,2025-12-04,2025-12-04,R01,K03,2,381172.65,1.0,1
C0309,2025-07-30,2025-12-15,2025-12-31,R03,K02,2,323617.0,1.0,0
C0310,2025-07-22,2025-12-31,2025-12-31,R04,K01,2,563848.46,1.0,1
C0311,2025-09-12,2025-12-31,2025-12-31,R05,K03,2,237853.67,1.0,1
C0312,2025-10-14,2025-12-31,2025-12-31,R03,K09,2,626277.53,1.0,0
C0313,2025-08-24,2025-12-31,2025-12-31,R03,K08,2,180930.07,1.0,1
C0314,2025-09-26,2025-12-31,2025-12-31,R02,K07,2,674054.7,1.0,1
