tender_id,identified_date_key,decision_date_key,region_id,contractor_id,stage_id,reached_stage_id,bid_value,outcome,is_won,is_decided,contract_id
T0114,2024-03-27,2024-05-19,R05,K10,5,3,700492.57,Lost,0,1,
T0115,2025-03-13,2025-06-02,R01,K05,5,3,250689.04,Lost,0,1,
T0116,2024-08-07,2024-10-06,R03,K05,4,3,573251.03,Won,1,1,C0146
T0117,2025-02-23,2025-04-26,R01,K05,4,3,707606.83,Won,1,1,C0246
T0118,2025-01-21,2025-04-05,R05,K11,5,3,407293.63,Lost,0,1,
T0119,2025-04-04,2025-06-22,R01,K09,5,3,362731.92,Lost,0,1,
T0120,2025-04-02,2025-05-10,R08,K06,5,3,1848661.16,Lost,0,1,
T0121,2024-03-18,2024-05-10,R02,K02,5,3,274143.98,Lost,0,1,
T0122,2025-04-26,2025-06-09,R03,K01,4,3,703267.47,Won,1,1,C0294
T0123,2025-11-17,,R04,K09,3,3,327001.16,In progress,0,0,
T0124,2024-08-09,2024-11-15,R02,K02,5,3,444807.06,Lost,0,1,
T0125,2024-10-22,2024-11-24,R03,K04,5,3,294525.77,Lost,0,1,
T0126,2025-01-23,2025-03-20,R08,K06,4,3,364238.72,Won,1,1,C0220
T0127,2025-12-01,,R04,K10,3,3,425921.06,In progress,0,0,
T0128,2024-01-08,2024-03-06,R05,K10,5,3,414908.88,Lost,0,1,
T0129,2024-11-23,2024-12-20,R02,K09,5,3,930101.37,Lost,0,1,
T0130,2025-03-22,2025-05-07,R05,K10,5,3,417929.22,Lost,0,1,
T0131,2025-02-04,2025-02-25,R05,K09,5,3,477509.03,Lost,0,1,
T0132,2024-03-04,2024-05-08,R03,K10,5,3,530566.12,Lost,0,1,
T0133,2024-05-27,2024-06-30,R07,K05,5,3,902687.57,Lost,0,1,
T0134,2024-03-14,2024-06-19,R06,K09,5,3,1124043.17,Lost,0,1,
T0135,2024-03-05,2024-06-06,R03,K10,5,1,501970.28,Lost,0,1,
T0136,2024-06-13,2024-09-07,R01,K01,4,3,493984.52,Won,1,1,C0134
T0137,2024-02-04,2024-03-17,R04,K04,5,3,454791.76,Lost,0,1,
T0138,2024-12-16,2025-02-26,R07,K08,5,2,2715777.8,Lost,0,1,
T0139,2024-02-04,2024-05-06,R06,K01,4,3,1002665.51,Won,1,1,C0030
T0140,2024-02-20,2024-03-13,R06,K03,4,3,1600031.71,Won,1,1,C0045
T0141,2024-07-31,2024-08-28,R04,K10,5,3,831151.27,Lost,0,1,
T0142,2025-03-02,2025-06-05,R04,K04,5,3,593119.59,Lost,0,1,
T0143,2024-12-29,2025-02-18,R05,K12,5,3,942895.29,Lost,0,1,
T0144,2025-06-21,2025-08-17,R03,K01,5,3,162625.42,Lost,0,1,
T0145,2024-12-15,2025-01-09,R04,K11,5,3,296720.93,Lost,0,1,
T0146,2024-06-17,2024-08-03,R01,K03,5,3,470367.68,Lost,0,1,
T0147,2024-09-04,2024-10-27,R02,K02,5,2,187451.32,Lost,0,1,
T0148,2024-11-08,2024-12-16,R05,K04,5,3,247704.28,Lost,0,1,
T0149,2025-10-01,,R01,K09,3,3,274212.78,In progress,0,0,
T0150,2025-09-28,2025-10-20,R03,K06,4,3,227586.29,Won,1,1,C0365
T0151,2025-03-02,2025-04-30,R04,K08,5,3,317940.68,Lost,0,1,
T0152,2025-01-16,2025-02-08,R02,K02,5,3,746129.89,Lost,0,1,
T0153,2024-06-21,2024-08-05,R03,K10,5,3,339647.02,Lost,0,1,
T0154,2025-12-02,2025-12-31,R07,K03,4,3,758107.57,Won,1,1,C0401
T0155,2025-04-07,2025-06-11,R07,K03,5,3,722607.36,Lost,0,1,
T0156,2024-04-28,2024-06-27,R05,K08,5,3,816720.93,Lost,0,1,
T0157,2025-02-24,2025-05-26,R06,K10,5,3,375888.96,Lost,0,1,
T0158,2025-12-07,,R05,K02,3,3,945598.41,In progress,0,0,
T0159,2024-10-24,2024-12-17,R03,K08,5,3,562481.56,Lost,0,1,
T0160,2025-03-16,2025-04-08,R03,K01,5,3,407653.92,Lost,0,1,
T0161,2025-01-13,2025-03-28,R08,K07,5,1,875106.46,Lost,0,1,
T0162,2025-06-18,2025-09-24,R06,K08,5,3,1355054.34,Lost,0,1,
T0163,2024-10-18,2024-12-31,R06,K05,5,3,363643.7,Lost,0,1,
T0164,2025-05-10,2025-06-01,R04,K11,5,3,121842.97,Lost,0,1,
T0165,2024-03-03,2024-04-21,R01,K09,5,3,156170.31,Lost,0,1,
T0166,2025-04-01,2025-06-11,R04,K04,5,3,574164.1,Lost,0,1,
T0167,2024-02-23,2024-04-01,R01,K10,5,3,251067.02,Lost,0,1,
T0168,2024-02-18,2024-03-28,R04,K01,5,3,180380.06,Lost,0,1,
T0169,2024-03-22,2024-05-02,R03,K08,5,2,489951.71,Lost,0,1,
T0170,2025-02-17,2025-04-17,R07,K07,4,3,993501.79,Won,1,1,C0239
T0171,2024-08-26,2024-11-06,R01,K08,5,3,441763.41,Lost,0,1,
T0172,2024-02-08,2024-05-05,R02,K04,5,3,630598.18,Lost,0,1,
T0173,2025-03-17,2025-05-09,R07,K03,4,3,1395794.06,Won,1,1,C0266
T0174,2024-02-07,2024-03-14,R03,K01,5,1,188401.95,Lost,0,1,
T0175,2024-02-08,2024-05-13,R03,K01,5,3,378445.83,Lost,0,1,
T0176,2024-06-11,2024-08-25,R03,K09,5,3,449313.21,Lost,0,1,
T0177,2025-10-24,2025-11-17,R03,K10,5,3,90601.45,Lost,0,1,
T0178,2025-09-04,2025-12-11,R02,K07,5,3,192462.35,Lost,0,1,
T0179,2025-03-02,2025-05-16,R08,K04,5,3,223722.85,Lost,0,1,
T0180,2024-02-04,2024-03-22,R03,K12,5,3,260694.4,Lost,0,1,
T0181,2024-01-23,2024-03-07,R03,K11,5,3,893339.33,Lost,0,1,
T0182,2024-12-17,2025-03-17,R04,K09,4,3,416497.8,Won,1,1,C0191
T0183,2025-01-02,2025-03-12,R05,K12,5,3,317202.32,Lost,0,1,
T0184,2024-02-23,2024-04-25,R07,K08,4,3,427661.38,Won,1,1,C0051
T0185,2024-12-24,2025-03-27,R08,K03,4,3,468314.39,Won,1,1,C0195
T0186,2024-04-16,2024-05-10,R01,K05,5,2,309860.17,Lost,0,1,
T0187,2025-04-18,2025-05-26,R02,K03,4,3,332484.89,Won,1,1,C0291
T0188,2024-02-21,2024-03-27,R04,K04,4,3,437739.88,Won,1,1,C0046
T0189,2025-01-20,2025-03-07,R01,K06,5,2,491411.74,Lost,0,1,
T0190,2025-08-07,2025-09-23,R06,K07,5,3,1129667.83,Lost,0,1,
T0191,2025-03-20,2025-06-17,R08,K02,5,3,1146919.04,Lost,0,1,
T0192,2025-03-18,2025-05-18,R01,K11,5,3,164950.72,Lost,0,1,
T0193,2025-02-08,2025-04-27,R08,K06,5,3,1986798.62,Lost,0,1,
T0194,2025-06-29,2025-07-26,R01,K01,4,3,733283.31,Won,1,1,C0325
T0195,2025-05-04,2025-07-18,R03,K11,5,3,712826.51,Lost,0,1,
T0196,2024-02-01,2024-04-26,R08,K02,5,3,1226383.55,Lost,0,1,
T0197,2025-10-12,2025-11-28,R01,K02,4,3,509380.75,Won,1,1,C0374
T0198,2025-10-01,2025-12-29,R03,K01,5,3,212300.29,Lost,0,1,
T0199,2025-02-22,2025-03-30,R05,K07,5,3,558234.56,Lost,0,1,
T0200,2025-12-14,,R03,K09,3,3,1155427.2,In progress,0,0,
T0201,2024-03-16,2024-06-05,R07,K02,4,3,1038326.93,Won,1,1,C0079
T0202,2024-09-18,2024-11-01,R06,K01,5,3,708958.29,Lost,0,1,
T0203,2024-09-29,2024-11-14,R04,K08,5,1,897218.24,Lost,0,1,
T0204,2024-02-27,2024-06-04,R06,K03,4,3,1110183.11,Won,1,1,C0056
T0205,2025-01-17,2025-02-18,R04,K04,5,3,178222.76,Lost,0,1,
T0206,2024-12-03,2025-02-09,R06,K11,5,3,366022.78,Lost,0,1,
T0207,2024-06-01,2024-06-29,R04,K02,4,3,438770.28,Won,1,1,C0130
T0208,2025-11-30,,R04,K09,3,3,283059.21,In progress,0,0,
T0209,2025-07-18,2025-08-15,R01,K02,4,3,478435.76,Won,1,1,C0332
T0210,2025-05-14,2025-08-05,R03,K03,5,3,387713.87,Lost,0,1,
T0211,2024-03-16,2024-05-22,R05,K01,4,3,460152.27,Won,1,1,C0080
T0212,2025-02-09,2025-03-05,R01,K10,5,3,239355.91,Lost,0,1,
T0213,2024-01-13,2024-02-28,R04,K08,5,3,229088.21,Lost,0,1,
T0214,2025-07-26,2025-10-24,R08,K11,5,3,333145.97,Lost,0,1,
T0215,2024-01-14,2024-03-15,R06,K06,4,3,1824144.0,Won,1,1,C0013
T0216,2025-04-09,2025-06-10,R07,K09,5,3,1234262.42,Lost,0,1,
T0217,2024-05-16,2024-07-11,R04,K10,5,3,584700.18,Lost,0,1,
T0218,2025-01-25,2025-04-09,R07,K05,5,3,1104216.87,Lost,0,1,
T0219,2024-01-12,2024-04-15,R08,K05,5,3,327943.38,Lost,0,1,
T0220,2024-05-04,2024-07-24,R03,K05,5,3,430206.94,Lost,0,1,
T0221,2024-04-30,2024-07-06,R06,K10,5,3,855791.13,Lost,0,1,
T0222,2025-06-23,2025-07-28,R02,K07,5,3,486316.25,Lost,0,1,
T0223,2025-03-31,2025-06-27,R05,K02,5,3,157657.19,Lost,0,1,
T0224,2025-12-07,,R07,K02,3,3,1519736.95,In progress,0,0,
T0225,2024-04-11,2024-05-07,R07,K08,4,3,231701.08,Won,1,1,C0103
T0226,2025-10-20,2025-12-31,R02,K08,5,1,370585.67,Lost,0,1,
T0227,2024-03-16,2024-06-10,R07,K06,5,3,814905.39,Lost,0,1,
T0228,2024-09-28,2024-12-20,R06,K12,4,3,2167786.83,Won,1,1,C0167
T0229,2024-03-02,2024-04-04,R01,K06,5,3,365278.26,Lost,0,1,
T0230,2024-04-01,2024-07-08,R06,K07,5,3,455908.21,Lost,0,1,
T0231,2024-01-29,2024-05-07,R02,K05,5,3,181519.9,Lost,0,1,
T0232,2025-03-09,2025-04-24,R08,K11,5,3,446270.48,Lost,0,1,
T0233,2025-03-26,2025-05-15,R01,K10,5,3,459260.6,Lost,0,1,
T0234,2024-03-12,2024-05-14,R01,K06,5,3,533770.97,Lost,0,1,
T0235,2025-01-14,2025-03-18,R01,K04,4,3,140330.68,Won,1,1,C0213
T0236,2024-11-07,2025-01-09,R06,K03,5,3,1176855.81,Lost,0,1,
T0237,2025-07-05,2025-08-20,R01,K03,4,3,292376.39,Won,1,1,C0327
T0238,2025-01-21,2025-03-24,R08,K11,5,3,379540.64,Lost,0,1,
T0239,2025-03-31,2025-07-08,R01,K04,5,3,711610.61,Lost,0,1,
T0240,2024-05-23,2024-07-05,R07,K07,5,3,1020275.12,Lost,0,1,
T0241,2024-02-19,2024-05-15,R04,K03,4,3,264396.1,Won,1,1,C0044
T0242,2025-11-09,2025-12-31,R04,K03,4,3,1123956.93,Won,1,1,C0386
T0243,2024-03-03,2024-05-11,R05,K05,5,3,509286.86,Lost,0,1,
T0244,2024-05-25,2024-06-19,R02,K11,5,3,485345.93,Lost,0,1,
T0245,2024-02-20,2024-05-22,R08,K10,5,3,401076.09,Lost,0,1,
T0246,2025-04-24,2025-06-29,R06,K12,4,3,494465.15,Won,1,1,C0292
T0247,2025-10-22,2025-12-28,R03,K04,4,3,248114.78,Won,1,1,C0377
T0248,2024-09-18,2024-11-02,R03,K06,5,3,298173.42,Lost,0,1,
T0249,2025-11-30,,R04,K02,3,3,547495.99,In progress,0,0,
T0250,2025-01-20,2025-04-28,R02,K11,5,3,337136.42,Lost,0,1,
T0251,2024-09-08,2024-09-30,R07,K08,4,3,742907.52,Won,1,1,C0155
T0252,2024-02-11,2024-03-10,R05,K08,5,3,439230.62,Lost,0,1,
T0253,2024-12-19,2025-03-27,R01,K09,5,3,603834.39,Lost,0,1,
T0254,2025-10-01,,R01,K09,3,3,1037069.35,In progress,0,0,
T0255,2025-03-27,2025-06-25,R02,K02,4,3,987291.5,Won,1,1,C0279
T0256,2024-10-19,2025-01-03,R03,K11,5,3,599778.81,Lost,0,1,
T0257,2024-09-26,2024-11-04,R04,K04,5,3,431076.04,Lost,0,1,
T0258,2025-02-23,2025-06-01,R04,K04,5,3,931655.89,Lost,0,1,
T0259,2025-02-25,2025-03-28,R06,K09,5,1,888421.69,Lost,0,1,
T0260,2024-10-13,2025-01-12,R05,K12,5,3,437883.91,Lost,0,1,
T0261,2024-03-21,2024-06-20,R07,K09,4,3,1172177.74,Won,1,1,C0085
T0262,2025-11-03,,R01,K05,3,3,610029.13,In progress,0,0,
T0263,2025-03-26,2025-05-10,R03,K12,5,3,381721.6,Lost,0,1,
T0264,2025-03-14,2025-05-09,R06,K02,4,3,535141.6,Won,1,1,C0263
T0265,2025-08-22,2025-11-18,R01,K06,5,3,920716.27,Lost,0,1,
T0266,2025-02-18,2025-03-11,R03,K06,4,3,334568.69,Won,1,1,C0240
T0267,2024-02-16,2024-03-20,R05,K01,5,3,523780.6,Lost,0,1,
T0268,2024-02-04,2024-04-03,R04,K10,5,3,386323.19,Lost,0,1,
T0269,2025-06-08,2025-08-13,R08,K05,5,3,1564836.22,Lost,0,1,
T0270,2025-01-08,2025-02-14,R08,K03,5,2,540048.39,Lost,0,1,
T0271,2024-04-11,2024-05-02,R01,K06,4,3,528273.68,Won,1,1,C0104
T0272,2024-09-14,2024-10-29,R04,K01,4,3,60000.0,Won,1,1,C0160
T0273,2025-09-25,2025-12-07,R04,K06,5,3,149655.67,Lost,0,1,
T0274,2024-04-12,2024-05-28,R01,K03,4,3,230025.38,Won,1,1,C0106
T0275,2025-01-13,2025-04-16,R05,K06,4,3,310198.17,Won,1,1,C0210
T0276,2025-09-25,,R07,K01,3,3,377069.23,In progress,0,0,
T0277,2024-02-12,2024-05-21,R03,K11,5,2,496720.2,Lost,0,1,
T0278,2025-04-13,2025-06-14,R06,K11,5,3,851455.27,Lost,0,1,
T0279,2024-10-08,2025-01-02,R04,K10,5,3,245302.26,Lost,0,1,
T0280,2025-06-03,2025-07-28,R01,K10,5,3,304263.05,Lost,0,1,
T0281,2025-03-17,2025-06-17,R02,K06,4,3,378260.86,Won,1,1,C0267
T0282,2024-03-02,2024-05-02,R03,K07,4,3,726306.78,Won,1,1,C0063
T0283,2024-05-20,2024-06-28,R08,K07,5,3,372269.95,Lost,0,1,
T0284,2025-04-08,2025-06-12,R08,K12,5,3,821262.25,Lost,0,1,
T0285,2025-05-06,2025-06-02,R05,K02,5,3,1042588.67,Lost,0,1,
T0286,2025-02-05,2025-04-04,R02,K11,5,3,303008.3,Lost,0,1,
T0287,2025-06-11,2025-09-18,R04,K05,5,3,432272.24,Lost,0,1,
T0288,2024-07-12,2024-09-18,R01,K08,5,3,627165.22,Lost,0,1,
T0289,2025-10-13,,R01,K09,3,3,243986.75,In progress,0,0,
T0290,2025-11-13,,R02,K02,3,3,200062.31,In progress,0,0,
T0291,2025-07-14,2025-10-08,R08,K04,5,3,221426.05,Lost,0,1,
T0292,2025-11-19,2025-12-31,R04,K03,4,3,823799.08,Won,1,1,C0391
T0293,2025-06-05,2025-06-29,R05,K02,5,3,636191.88,Lost,0,1,
T0294,2025-03-28,2025-07-04,R02,K06,5,3,358815.18,Lost,0,1,
T0295,2025-02-12,2025-04-08,R03,K04,5,3,330758.28,Lost,0,1,
T0296,2024-09-11,2024-11-28,R03,K07,4,3,659742.79,Won,1,1,C0159
T0297,2025-06-14,2025-08-16,R05,K10,5,3,227157.93,Lost,0,1,
T0298,2024-02-21,2024-05-02,R04,K08,4,3,258414.3,Won,1,1,C0047
T0299,2025-03-25,2025-05-05,R02,K12,4,3,195743.28,Won,1,1,C0278
T0300,2025-12-25,2025-12-31,R03,K02,5,3,502818.17,Lost,0,1,
T0301,2025-02-05,2025-04-24,R04,K01,4,3,499136.84,Won,1,1,C0230
T0302,2024-10-21,2024-12-07,R01,K04,5,3,461983.77,Lost,0,1,
T0303,2025-11-08,,R05,K10,2,2,487867.28,In progress,0,0,
T0304,2024-06-16,2024-09-18,R04,K03,5,2,481643.72,Lost,0,1,
T0305,2025-05-16,2025-06-20,R03,K03,5,3,357355.44,Lost,0,1,
T0306,2024-02-04,2024-04-06,R04,K12,5,3,221153.42,Lost,0,1,
T0307,2024-10-20,2025-01-24,R05,K05,5,3,299515.91,Lost,0,1,
T0308,2024-10-27,2025-01-05,R03,K01,5,3,206728.27,Lost,0,1,
T0309,2025-08-27,2025-11-24,R06,K07,5,3,2107268.81,Lost,0,1,
T0310,2025-01-13,2025-02-05,R04,K11,5,3,878528.7,Lost,0,1,
T0311,2024-02-28,2024-04-15,R05,K03,4,3,368145.15,Won,1,1,C0057
T0312,2024-12-07,2025-01-01,R07,K12,5,3,892734.15,Lost,0,1,
T0313,2025-07-25,2025-09-13,R04,K06,5,3,271743.03,Lost,0,1,
T0314,2025-08-23,2025-09-24,R04,K10,5,3,552884.73,Lost,0,1,
T0315,2025-02-01,2025-03-26,R01,K11,5,3,205246.57,Lost,0,1,
T0316,2025-03-21,2025-05-09,R04,K07,5,3,860872.45,Lost,0,1,
T0317,2025-06-13,2025-08-25,R03,K03,4,3,392469.92,Won,1,1,C0320
T0318,2024-02-07,2024-05-11,R06,K09,4,3,871374.74,Won,1,1,C0034
T0319,2025-04-28,2025-06-20,R03,K08,5,3,304294.39,Lost,0,1,
T0320,2025-03-27,2025-05-02,R04,K09,4,3,290589.33,Won,1,1,C0280
T0321,2024-07-13,2024-10-05,R07,K04,5,3,484310.12,Lost,0,1,
T0322,2024-02-23,2024-04-30,R08,K07,5,3,226756.25,Lost,0,1,
T0323,2024-10-01,2024-12-28,R04,K03,5,3,450203.74,Lost,0,1,
T0324,2025-03-20,2025-05-24,R03,K01,5,1,258980.21,Lost,0,1,
T0325,2024-01-06,2024-04-07,R01,K12,5,3,1011982.61,Lost,0,1,
T0326,2024-11-26,2025-01-14,R03,K12,5,3,913986.18,Lost,0,1,
T0327,2025-12-09,,R04,K11,3,3,250227.39,In progress,0,0,
T0328,2024-12-07,2025-01-04,R07,K10,5,3,672126.3,Lost,0,1,
T0329,2025-05-05,2025-05-31,R04,K03,4,3,244435.07,Won,1,1,C0300
