student_id,study_hours_per_week,attendance_rate,sleep_hours,prior_gpa,extracurricular_hours,study_method,exam_score
S0111,13.62,89.5,7.13,3.89,4,Group study,75.1
S0112,10.71,68.2,5.6,2.37,2,Self-study,65.8
S0113,11.7,85.6,6.91,2.72,6,Tutoring,54.5
S0114,15.11,82.5,5.92,3.27,4,Group study,82.0
S0115,5.92,73.7,7.34,2.45,4,Self-study,54.8
S0116,5.89,91.4,8.62,2.85,5,Group study,78.4
S0117,1.88,48.7,6.75,2.14,6,Self-study,40.0
S0118,20.39,73.3,5.37,3.26,7,Tutoring,88.8
S0119,6.87,79.6,9.1,2.31,1,Tutoring,61.9
S0120,10.22,71.5,7.73,3.04,1,Tutoring,73.6
S0121,14.16,75.4,8.09,2.87,2,Self-study,78.0
S0122,14.27,91.8,7.3,2.51,5,Self-study,69.6
S0123,7.66,80.3,5.39,2.95,3,Self-study,73.0
S0124,6.61,85.5,7.38,2.64,7,Self-study,55.5
S0125,10.15,80.1,7.18,2.72,5,Self-study,69.1
S0126,9.76,72.8,8.39,2.58,0,Self-study,71.7
S0127,18.77,99.6,6.36,2.63,3,Tutoring,91.0
S0128,10.8,77.5,5.57,3.1,5,Self-study,83.8
S0129,5.72,84.5,9.46,3.01,3,Self-study,60.4
S0130,11.4,88.5,4.94,2.98,3,Tutoring,65.3
S0131,19.76,86.7,8.35,2.93,4,Group study,76.8
S0132,13.34,69.6,6.85,3.47,3,Group study,82.1
S0133,4.89,73.3,6.07,2.57,4,Group study,64.2
S0134,4.84,44.3,7.45,2.47,0,Tutoring,55.4
S0135,15.3,87.9,5.89,2.59,6,Group study,67.3
S0136,13.47,99.0,7.49,3.38,3,Group study,90.2
S0137,15.43,91.4,8.15,3.03,3,Group study,72.5
S0138,9.99,89.2,8.67,2.89,3,Self-study,79.9
S0139,13.32,79.5,7.79,2.22,2,Self-study,88.5
S0140,8.71,37.0,5.58,2.33,4,Self-study,52.6
S0141,16.67,83.0,5.41,3.07,6,Self-study,81.2
S0142,7.9,61.6,7.5,2.75,5,Group study,58.3
S0143,11.94,89.7,5.71,2.98,4,Self-study,60.0
S0144,6.89,48.1,7.61,2.63,2,Self-study,50.1
S0145,11.6,93.1,4.37,2.35,3,Self-study,58.4
S0146,18.14,90.2,7.45,2.84,1,Tutoring,74.3
S0147,13.88,84.2,7.35,3.03,4,Self-study,88.2
S0148,12.66,90.9,7.77,2.5,0,Group study,76.8
S0149,16.21,95.7,5.61,2.45,4,Tutoring,82.3
S0150,15.91,98.0,7.43,3.14,2,Self-study,80.5
S0151,12.05,77.3,5.62,3.71,8,Group study,76.3
S0152,16.77,73.0,7.47,3.4,4,Self-study,86.0
S0153,17.25,92.6,7.49,3.51,4,Self-study,85.3
S0154,4.51,74.4,6.49,2.22,8,Group study,60.1
S0155,19.26,97.4,6.95,3.87,3,Tutoring,95.1
S0156,12.85,65.0,7.09,3.01,2,Self-study,66.7
S0157,11.78,80.2,8.83,3.44,3,Group study,67.4
S0158,13.04,83.2,6.53,2.61,4,Self-study,55.6
S0159,8.87,56.7,7.36,2.99,1,Group study,63.1
S0160,11.48,92.0,8.13,3.5,4,Group study,81.4
S0161,8.45,59.2,7.21,2.97,7,Group study,53.6
S0162,16.62,84.4,5.19,2.96,4,Group study,78.5
S0163,11.15,71.7,7.05,2.75,3,Self-study,67.1
S0164,13.31,77.1,6.98,3.14,2,Group study,60.4
S0165,9.98,94.4,5.73,2.14,1,Group study,61.9
S0166,12.12,82.1,6.67,3.47,0,Group study,83.0
S0167,13.66,96.6,5.63,2.95,3,Self-study,80.2
S0168,8.24,72.3,8.53,3.64,3,Self-study,62.4
S0169,20.0,89.1,8.46,3.35,3,Self-study,87.8
S0170,13.53,99.8,8.06,3.04,5,Self-study,86.5
S0171,10.48,72.4,7.83,2.98,4,Self-study,73.6
S0172,12.06,85.9,7.32,2.31,5,Self-study,66.4
S0173,7.88,51.7,6.74,2.79,3,Group study,56.7
S0174,15.49,64.1,6.04,2.79,4,Self-study,64.9
S0175,13.17,66.9,7.46,3.04,1,Tutoring,78.4
S0176,3.77,72.0,6.89,2.66,4,Group study,61.0
S0177,12.95,92.5,5.61,2.58,2,Group study,79.6
S0178,13.21,94.7,6.4,2.14,1,Self-study,71.6
S0179,8.5,68.7,6.42,2.83,4,Self-study,69.3
S0180,16.41,76.5,5.57,3.24,1,Group study,81.1
S0181,13.64,84.5,6.58,3.66,3,Tutoring,90.7
S0182,20.65,86.8,4.97,3.24,2,Self-study,90.8
S0183,8.84,83.7,7.6,2.71,6,Group study,62.4
S0184,16.86,97.1,7.36,3.82,1,Group study,78.6
S0185,10.66,66.1,6.89,2.69,4,Group study,77.7
S0186,19.91,86.8,6.92,3.2,4,Self-study,86.3
S0187,12.03,87.2,8.17,3.73,4,Group study,69.4
S0188,14.48,66.1,6.47,3.37,6,Self-study,68.0
S0189,12.89,92.0,7.42,3.58,4,Tutoring,90.8
S0190,10.51,84.5,3.58,2.94,0,Self-study,65.5
S0191,4.76,80.3,7.69,2.36,3,Self-study,54.5
S0192,17.76,80.8,9.05,3.3,4,Tutoring,95.7
S0193,18.79,89.2,5.4,3.15,4,Self-study,74.3
S0194,6.27,71.0,6.17,3.09,4,Self-study,57.5
S0195,10.81,78.8,7.09,3.2,2,Self-study,73.9
S0196,7.63,90.5,6.64,2.35,5,Self-study,66.6
S0197,13.95,58.5,6.8,3.27,5,Self-study,73.8
S0198,14.65,61.8,6.9,2.91,3,Self-study,76.2
S0199,15.66,96.9,8.85,3.83,3,Group study,91.7
S0200,13.48,91.4,6.96,3.16,5,Group study,83.6
S0201,11.75,69.9,6.26,3.16,4,Self-study,68.1
S0202,13.43,90.5,6.39,3.36,5,Group study,81.8
S0203,6.81,92.8,6.61,2.25,2,Self-study,64.2
S0204,7.71,77.7,6.67,2.71,5,Tutoring,69.1
S0205,13.43,86.8,7.24,3.33,0,Self-study,85.0
S0206,10.47,41.7,6.65,2.81,6,Group study,63.9
S0207,16.99,88.5,6.05,3.34,3,Self-study,83.3
S0208,11.99,92.3,6.28,3.34,5,Group study,73.9
S0209,7.99,89.5,7.87,3.0,2,Self-study,70.8
S0210,8.39,68.9,7.5,2.5,5,Group study,62.2
S0211,6.78,72.5,7.11,3.75,2,Self-study,72.1
S0212,18.18,88.9,7.03,3.3,4,Tutoring,100.0
S0213,11.35,95.2,6.48,3.48,3,Group study,77.9
S0214,11.75,63.9,7.2,3.5,4,Group study,76.9
S0215,11.17,62.3,6.45,2.28,2,Tutoring,72.5
S0216,12.95,95.1,10.09,3.06,6,Tutoring,81.6
S0217,13.02,80.5,7.23,3.08,4,Self-study,91.2
S0218,10.29,55.9,4.96,3.01,4,Self-study,58.6
S0219,9.5,79.0,7.8,3.03,3,Self-study,71.5
S0220,17.15,97.7,7.33,3.68,6,Self-study,81.6
S0221,16.75,92.1,7.35,3.44,2,Group study,84.5
S0222,14.94,63.1,5.62,3.47,6,Tutoring,79.2
S0223,18.25,84.1,5.21,3.04,4,Tutoring,89.4
S0224,12.33,93.6,6.51,3.2,2,Group study,82.8
S0225,13.89,83.5,5.87,2.93,4,Group study,85.9
S0226,10.87,96.6,6.94,2.97,1,Tutoring,78.9
S0227,8.24,73.3,6.15,3.34,4,Tutoring,70.1
S0228,17.41,87.3,6.63,3.16,4,Self-study,100.0
S0229,19.22,51.2,3.97,2.78,4,Group study,72.0
S0230,14.9,89.7,6.3,3.5,6,Tutoring,80.0
S0231,12.77,92.6,7.19,2.89,5,Self-study,69.5
S0232,12.46,82.0,8.45,2.16,1,Self-study,59.5
S0233,7.01,70.1,6.68,2.21,2,Tutoring,68.3
S0234,8.38,98.3,9.27,2.98,3,Tutoring,74.0
S0235,7.17,42.2,6.65,2.32,4,Tutoring,55.2
S0236,5.28,60.7,7.16,2.87,5,Group study,59.2
S0237,6.45,87.0,6.22,3.06,4,Self-study,73.2
S0238,6.22,69.9,7.41,3.03,4,Self-study,56.3
S0239,18.43,95.6,6.36,3.56,8,Group study,81.2
S0240,20.23,72.2,5.27,3.73,2,Group study,88.6
S0241,6.45,67.3,7.45,2.76,3,Group study,67.0
S0242,9.17,66.9,5.84,3.68,5,Group study,75.0
S0243,15.72,78.6,6.38,2.81,0,Self-study,69.1
S0244,6.21,42.6,4.29,2.09,8,Group study,50.4
S0245,11.81,94.4,7.42,3.4,2,Self-study,73.8
S0246,14.2,91.5,6.14,3.3,5,Self-study,75.7
S0247,9.69,60.2,5.43,2.81,5,Self-study,53.7
S0248,8.67,78.4,7.59,3.16,7,Self-study,77.6
S0249,17.36,72.4,8.37,3.02,5,Tutoring,84.5
S0250,12.29,75.8,4.7,2.81,1,Self-study,72.4
S0251,16.06,97.1,5.91,3.31,2,Self-study,93.4
S0252,9.36,88.5,6.95,3.62,3,Group study,100.0
S0253,16.2,86.7,7.54,3.03,3,Group study,68.5
S0254,11.51,67.8,7.47,3.22,5,Self-study,63.9
S0255,18.46,97.5,6.28,3.44,2,Self-study,83.6
S0256,12.1,72.6,8.56,3.2,3,Self-study,65.4
S0257,17.01,50.9,4.07,3.22,4,Group study,62.3
S0258,13.05,61.0,6.58,3.72,6,Self-study,71.1
S0259,12.71,75.9,6.27,2.16,4,Self-study,55.1
S0260,15.55,59.9,5.73,2.54,2,Self-study,69.1
S0261,12.22,45.8,7.25,3.2,3,Group study,67.5
S0262,1.58,51.2,8.51,1.6,3,Self-study,44.0
S0263,7.04,87.0,6.33,2.99,5,Tutoring,75.4
S0264,19.71,86.3,6.89,2.71,6,Self-study,83.7
S0265,8.81,69.0,6.84,2.25,4,Group study,58.3
S0266,16.06,88.7,4.87,3.02,6,Self-study,92.2
S0267,4.11,53.3,7.99,2.81,5,Self-study,55.3
S0268,19.81,92.8,7.28,4.0,3,Self-study,79.0
S0269,8.65,83.9,7.48,2.73,2,Group study,62.1
S0270,21.7,92.8,5.61,3.67,3,Tutoring,82.6
S0271,10.94,87.5,5.45,3.06,9,Self-study,70.6
S0272,13.96,78.3,6.1,2.86,3,Self-study,71.7
S0273,10.41,90.7,5.01,3.23,4,Tutoring,73.5
S0274,13.58,65.4,8.11,3.54,5,Group study,91.3
S0275,5.64,86.0,7.61,2.24,4,Self-study,63.7
S0276,13.53,89.5,7.0,3.21,7,Self-study,82.4
S0277,17.15,38.4,5.9,2.92,1,Group study,61.8
S0278,12.4,94.4,5.7,3.16,2,Group study,72.4
S0279,9.18,94.3,6.47,3.14,1,Group study,77.1
S0280,19.82,93.8,6.34,3.52,1,Tutoring,95.2
S0281,16.97,82.2,6.33,2.95,3,Self-study,64.0
S0282,14.92,87.4,7.45,3.15,5,Self-study,76.7
S0283,10.24,98.1,5.35,3.47,7,Self-study,76.6
S0284,8.42,97.6,8.33,3.45,4,Self-study,74.5
S0285,11.09,77.5,7.26,3.52,4,Self-study,68.3
S0286,8.17,88.1,8.09,3.22,5,Self-study,67.0
S0287,10.86,65.3,5.76,2.22,5,Self-study,57.7
S0288,11.65,74.6,3.5,2.31,7,Group study,61.6
S0289,9.21,83.6,5.38,3.4,4,Self-study,76.2
S0290,13.22,98.8,8.73,3.16,2,Self-study,88.3
S0291,10.63,86.7,6.8,2.83,7,Group study,69.7
S0292,11.52,98.5,7.19,3.82,4,Group study,82.1
S0293,16.04,75.3,5.59,3.22,6,Group study,81.3
S0294,12.17,60.6,5.11,2.3,1,Group study,66.9
S0295,12.46,93.6,6.89,2.22,3,Group study,68.7
S0296,11.32,97.9,5.42,2.87,8,Self-study,78.4
S0297,13.89,89.8,6.92,3.24,5,Self-study,85.6
S0298,8.6,89.0,5.49,2.98,5,Group study,80.9
S0299,9.41,78.5,6.2,2.46,3,Self-study,77.4
S0300,7.36,81.2,5.73,3.06,2,Self-study,60.8
S0301,9.62,69.0,8.33,3.08,3,Self-study,67.1
S0302,14.09,48.0,6.42,3.7,4,Self-study,71.5
S0303,12.29,88.4,7.86,2.33,1,Self-study,68.8
S0304,12.88,71.6,8.17,2.94,1,Self-study,66.0
S0305,6.67,27.6,6.44,2.55,3,Tutoring,40.9
S0306,16.53,95.9,6.56,2.41,5,Tutoring,80.6
S0307,14.33,87.5,7.85,2.71,8,Self-study,67.0
S0308,7.97,87.1,5.14,2.45,8,Tutoring,66.3
S0309,10.9,90.3,7.21,2.99,7,Self-study,66.3
S0310,11.01,49.8,5.73,3.02,5,Tutoring,57.6
S0311,5.42,61.6,6.33,2.55,2,Tutoring,61.8
S0312,9.36,66.8,7.7,3.22,4,Self-study,68.1
S0313,10.35,81.8,5.96,2.46,2,Group study,73.0
S0314,9.33,58.9,6.96,3.12,1,Tutoring,85.4
S0315,12.11,78.5,7.16,3.0,1,Tutoring,78.5
S0316,6.7,76.2,8.18,2.03,5,Tutoring,63.7
S0317,17.0,84.4,7.2,2.93,3,Group study,72.6
S0318,5.19,32.2,7.88,2.29,3,Self-study,35.6
S0319,6.18,49.9,6.68,2.42,5,Tutoring,67.6
S0320,13.9,87.3,7.03,3.71,2,Group study,77.9
