project_id,date_key,planned_value,earned_value,actual_cost
10,2024-01-31,22630479.58,22947000.0,24549158.54
10,2024-02-29,22947000.0,22947000.0,24549158.54
11,2025-02-28,373962.7,377911.23,347159.33
11,2025-03-31,927940.11,946076.48,860685.67
11,2025-04-30,1702237.31,1758780.74,1626727.49
11,2025-05-31,2789062.99,2836327.03,2517116.51
11,2025-06-30,4140003.11,4215966.22,3899442.33
11,2025-07-31,5719345.14,5822572.13,5258711.11
11,2025-08-31,7559562.6,7791430.17,7263468.32
11,2025-09-30,8993694.79,9373240.86,8494149.29
11,2025-10-31,10690199.63,10810953.58,9958112.79
11,2025-11-30,11673329.01,11975380.51,10916373.39
12,2023-12-31,437565.54,533413.64,519556.42
12,2024-01-31,1013443.47,1190715.81,1171072.18
12,2024-02-29,1764696.35,2057039.66,1991908.69
12,2024-03-31,2747066.4,3271631.51,3179153.26
12,2024-04-30,3929174.53,4805554.31,4583439.32
12,2024-05-31,5427455.09,6520376.16,6228165.99
12,2024-06-30,7202702.24,8713451.42,8365616.73
12,2024-07-31,9046730.18,10943482.5,10556838.88
12,2024-08-31,11185406.66,13509771.89,12872838.83
12,2024-09-30,13244508.75,15978120.37,15484914.88
12,2024-10-31,15150964.04,18050483.04,17266670.92
12,2024-11-30,17010902.09,20892061.49,20031377.16
12,2024-12-31,18494948.84,22326000.0,22061836.06
12,2025-01-31,19699617.12,22326000.0,22061836.06
12,2025-02-28,20393938.88,22326000.0,22061836.06
12,2025-03-31,21213025.26,22326000.0,22061836.06
12,2025-04-30,21749507.49,22326000.0,22061836.06
12,2025-05-31,22326000.0,22326000.0,22061836.06
13,2023-08-31,219148.14,209012.76,200614.58
13,2023-09-30,530314.05,500020.29,470975.58
13,2023-10-31,963099.01,930630.91,890968.07
13,2023-11-30,1533892.95,1476976.36,1382038.66
13,2023-12-31,2261901.75,2151257.55,2038344.46
13,2024-01-31,3177480.19,2982374.82,2887476.25
13,2024-02-29,4046360.97,3935195.75,3759168.05
13,2024-03-31,5124477.2,4913503.22,4690034.66
13,2024-04-30,5957545.84,5692232.99,5582005.9
13,2024-05-31,6877477.26,6656930.8,6379257.51
13,2024-06-30,7762556.64,7448951.63,7075780.64
13,2024-07-31,8220419.67,8041675.68,7766708.11
13,2024-08-31,8609679.2,8209719.99,7887158.88
13,2024-09-30,8766323.25,8348321.49,8031283.76
13,2024-10-31,9164278.47,8874041.41,8505282.05
14,2023-02-28,337846.88,407001.12,376191.42
14,2023-03-31,1837348.48,2199035.27,1988831.53
14,2023-04-30,3090602.95,3607040.97,3307593.93
14,2023-05-31,4413501.37,5315261.13,4767581.85
14,2023-06-30,5631732.18,6842670.54,6226859.6
14,2023-07-31,6609164.66,7520000.0,6997398.09
14,2023-08-31,7025163.97,7520000.0,7023159.68
14,2023-09-30,7509806.82,7520000.0,7023159.68
15,2023-06-30,132481.51,159786.59,143865.76
15,2023-07-31,342769.98,415200.16,377827.08
15,2023-08-31,659956.85,796486.59,727836.46
15,2023-09-30,1074911.49,1279547.68,1147902.79
15,2023-10-31,1612048.63,1921180.44,1737256.22
15,2023-11-30,2161413.5,2618593.08,2371170.06
15,2023-12-31,2716316.53,3194750.94,2904632.47
15,2024-01-31,3088111.47,3715756.35,3406958.72
15,2024-02-29,3471403.93,3805000.0,3514085.26
15,2024-03-31,3675642.06,3805000.0,3514085.26
15,2024-04-30,3805000.0,3805000.0,3514085.26
16,2025-03-31,162250.49,155941.02,147518.95
16,2025-04-30,433080.04,424694.97,402591.44
16,2025-05-31,880853.42,848073.36,799200.32
16,2025-06-30,1494230.52,1440283.28,1332532.59
16,2025-07-31,2084703.17,2036099.09,1926664.29
16,2025-08-31,2691533.36,2624195.72,2475590.26
16,2025-09-30,3171463.53,3031245.69,2867909.98
16,2025-10-31,3403618.1,3269877.81,3014809.49
16,2025-11-30,3595000.0,3479992.74,3272586.32
17,2023-09-30,346660.36,348087.61,316339.52
17,2023-10-31,849924.98,865566.57,754209.49
17,2023-11-30,1549483.44,1543453.68,1390531.51
17,2023-12-31,2464556.94,2413557.64,2129435.03
17,2024-01-31,3645928.04,3651975.67,3215848.67
17,2024-02-29,5035691.77,5073314.32,4535832.67
17,2024-03-31,6602907.92,6407451.7,5832398.16
17,2024-04-30,8293104.17,8234523.33,7360911.84
17,2024-05-31,9727396.56,9773380.9,8757723.89
17,2024-06-30,10797071.76,10786378.85,9808527.47
17,2024-07-31,11790299.4,11790766.35,10471385.59
17,2024-08-31,12587324.62,12497609.01,11305282.79
17,2024-09-30,12810138.39,12915736.83,11656300.92
17,2024-10-31,13324000.0,13324000.0,11699665.82
18,2025-05-31,95380.19,89918.2,95260.77
18,2025-06-30,245288.58,232907.94,244351.39
18,2025-07-31,474112.23,460605.21,487919.5
18,2025-08-31,785660.99,749552.19,805863.09
18,2025-09-30,1175898.03,1153617.52,1221012.98
18,2025-10-31,1576358.36,1503748.91,1599715.88
18,2025-11-30,1977234.36,1895883.38,1968687.11
19,2023-05-31,218594.87,233487.65,251263.56
19,2023-06-30,580444.8,637389.65,695426.52
19,2023-07-31,1182193.69,1293422.21,1399970.92
19,2023-08-31,1921248.74,2088711.8,2292424.74
19,2023-09-30,2806074.47,3080766.53,3236202.8
19,2023-10-31,3528690.22,3807794.35,3997201.04
19,2023-11-30,4124691.73,4549024.45,4888615.88
19,2023-12-31,4522090.94,4704000.0,5031480.07
19,2024-01-31,4703776.54,4704000.0,5088612.1
20,2024-09-30,209974.73,215004.22,193328.32
20,2024-10-31,534565.84,554830.82,507381.6
20,2024-11-30,999898.65,1056234.87,961037.25
20,2024-12-31,1645916.57,1699225.34,1593878.74
20,2025-01-31,2469943.62,2534641.52,2262882.42
20,2025-02-28,3373373.35,3477163.39,3151617.96
20,2025-03-31,4301346.47,4417857.49,3963763.84
20,2025-04-30,5083694.7,5317820.2,4937647.98
20,2025-05-31,5590682.12,5729807.65,5305198.98
20,2025-06-30,6197100.13,6449959.16,5834791.25
20,2025-07-31,6537598.58,6708000.0,6035863.18
20,2025-08-31,6708000.0,6708000.0,6059834.6
21,2025-03-31,591681.63,474446.36,585707.9
21,2025-04-30,1423163.18,1136575.54,1414899.24
21,2025-05-31,2577973.12,2059885.33,2569264.82
21,2025-06-30,4081750.17,3259480.15,4041496.87
21,2025-07-31,5986538.37,4890800.91,6123469.9
21,2025-08-31,8431084.96,6782487.39,8487882.25
21,2025-09-30,10784169.28,8571133.58,10780966.21
21,2025-10-31,13541828.15,10897271.97,13743815.97
22,2024-11-30,490972.51,420105.52,485252.31
22,2024-12-31,1332849.61,1154256.5,1362479.77
22,2025-01-31,2661718.93,2330824.92,2621981.31
22,2025-02-28,4463554.92,3877016.33,4464442.36
23,2024-09-30,664316.89,757490.55,621646.66
23,2024-10-31,1561077.73,1772523.29,1437504.98
23,2024-11-30,2760601.24,3208712.82,2674243.8
23,2024-12-31,4351651.07,5033921.24,4072349.28
23,2025-01-31,6316637.98,7078272.69,5919462.66
23,2025-02-28,8617990.31,9808298.47,7830928.59
23,2025-03-31,11354362.42,12857007.3,10687222.56
23,2025-04-30,14318989.64,16347123.57,13185149.46
23,2025-05-31,17457815.11,19589765.39,16140271.4
23,2025-06-30,20962140.31,23686870.44,19132191.56
23,2025-07-31,23086675.3,26308971.09,21833074.54
23,2025-08-31,25357790.61,29134515.79,23810951.99
23,2025-09-30,27592285.74,31534873.2,25510937.37
23,2025-10-31,29255379.25,31856000.0,25940459.79
23,2025-11-30,30391134.37,31856000.0,26346860.0
